,mean_d18O,mean_d2H,mean_DEX,stdev_d18O,stdev_d2H,stdev_DEX,month,year,lat,lon,SITE_ID,type,volumes,fraction
36,-16.19,-120.15,9.34,0.09307,0.28109,0.385107501,6,2015,40.688747,-111.875144,JVWCD-038,Distribution_site,,
37,-15.405,-118.485,4.745,0.120208153,0.077781746,0.855599205,6,2015,40.536962,-112.024307,JVWCD-039,Distribution_site,,
38,-15.53,-117.32,6.92,0.02201,0.14886,0.161353092,6,2015,40.50828,-112.024109,JVWCD-040,Distribution_site,,
39,-15.71,-119.93,5.76,0.07532,0.4375,0.486611826,6,2015,40.647078,-112.005548,JVWCD-041,Distribution_site,,
40,-16.66,-124.05,9.22,0.03503,0.19231,0.216332945,6,2015,40.6432,-111.853752,JVWCD-042,Distribution_site,,
41,-15.42,-118.29,5.04,0.04893,0.27257,0.305691943,6,2015,40.567822,-112.036117,JVWCD-043,Distribution_site,,
42,-15.48,-118.79,5.02,0.05301,0.12043,0.192311897,6,2015,40.667575,-112.034515,JVWCD-044,Distribution_site,,
43,-16.58,-123.89,8.77,0.00816,0.06512,0.069089067,6,2015,40.638722,-111.858556,JVWCD-045,Distribution_site,,
44,-15.67,-114.92,10.42,0.01602,0.07009,0.083460957,6,2015,40.634095,-111.866393,JVWCD-046,Distribution_site,,
45,-15.63,-113.65,11.4,0.01723,0.20562,0.211316274,6,2015,40.634829,-111.9388,JVWCD-047,Distribution_site,,
46,-15.58,-113.72,10.92,0.07509,0.23338,0.31555394,6,2015,40.632013,-111.92928,JVWCD-048,Distribution_site,,
47,-16.67,-123.88,9.44,0.04587,0.08659,0.155981676,6,2015,40.632038,-111.857198,JVWCD-049,Distribution_site,,
48,-15.55,-112.99,11.37,0.02919,0.23069,0.24501903,6,2015,40.544266,-111.910352,JVWCD-050,Distribution_site,,
49,-15.66,-114.43,10.83,0.06122,0.3588,0.398397474,6,2015,40.624264,-111.865347,JVWCD-051,Distribution_site,,
50,-15.42,-118.65,4.68,0.02744,0.08308,0.113692195,6,2015,40.682123,-112.063211,JVWCD-052,Distribution_site,,
51,-15.955,-117.855,9.805,0.06363961,0.51618795,1.039446968,6,2015,40.675527,-111.870602,JVWCD-053,Distribution_site,,
52,-16.15,-121.06,8.11,0.00778,0.06337,0.067081921,6,2015,40.692962,-111.869656,JVWCD-054,Distribution_site,,
53,-15.565,-114.55,9.97,0.091923882,0.848528137,1.569777054,6,2015,40.672496,-111.85711,JVWCD-055,Distribution_site,,
54,-15.39,-118.72,4.43,0.08376,0.31944,0.397703174,6,2015,40.691788,-111.914146,JVWCD-056,Distribution_site,,
55,-15.53,-114.04,10.24,0.01923,0.07974,0.096523628,6,2015,40.596296,-111.855902,JVWCD-057,Distribution_site,,
56,-15.71,-114.97,10.7,0.03176,0.13113,0.158948601,6,2015,40.485737,-111.916063,JVWCD-058,Distribution_site,,
57,-15.69,-114.89,10.66,0.04858,0.17471,0.222269466,6,2015,40.589546,-111.809038,JVWCD-059,Distribution_site,,
58,-15.47,-118.495,5.235,0.028284271,0.134350288,0.374766594,6,2015,40.587804,-111.967287,JVWCD-060,Distribution_site,,
59,-16.69,-124.06,9.5,0.02965,0.09347,0.125577151,6,2015,40.645437,-111.8628,JVWCD-061,Distribution_site,,
62,-15.6,-116.43,8.376666667,0.185202592,1.974537921,3.22803862,6,2015,40.475924,-111.906062,JVWCD-065,Distribution_site,,
63,-15.435,-118.245,5.245,0.106066017,0.445477272,0.417193001,6,2015,40.642764,-111.977307,JVWCD-067,Distribution_site,,
64,-15.45,-115.46,8.16,0.03195,0.16542,0.188494553,6,2015,40.611546,-111.872457,JVWCD-068,Distribution_site,,
65,-16.05,-119.53,8.9,0.03441,0.1067,0.144420479,6,2015,40.695067,-111.88229,JVWCD-100,Distribution_site,,
66,-15.55,-114.1,10.28,0.00841,0.11744,0.119824782,6,2015,40.54447,-111.883263,JVWCD-101,Distribution_site,,
67,-15.42,-116.13,7.25,0.02291,0.03525,0.073766573,6,2015,40.580533,-111.85684,JVWCD-102,Distribution_site,,
310,-15.47,-118.59,5.195,0.056568542,0.070710678,0.374766594,6,2015,40.473194,-111.966059,JVWCD-069,source_water,10500,0.804844397
510,-15.6,-114.012,10.55333333,0.4532,0.994199846,0.973515965,6,2015,40.541066,-111.819048,JVWCD-072,source_water,1200,0.091982217
210,-16.04,-124.04,4.24,0.035355339,0.06363961,0.339411255,6,2015,40.602075,-111.928449,JVWCD-063,source_water,500,0.038325924
231,-16.60686204,-123.7584213,9.095,0.096991886,0.185646218,0.586898628,10,2015,40.634841,-111.850583,JVWCD-120,source_water,320,0.018396443
351,-16.4,-122.36,8.84,0.02635,0.0738,0.104885747,6,2015,40.612881,-111.8431,JVWCD-110,source_water,126,0.009658133
321,-16.28,-121.62,8.65,0.05798,0.31404,0.354280348,6,2015,40.606104,-111.841137,JVWCD-107,source_water,108,0.0082784
151,-16.545,-123.5,8.84,0.176776695,0.90509668,0.523259018,6,2015,40.674311,-111.859856,JVWCD-083,source_water,81,0.0062088
201,-15.4,-115.87,7.31,0.00316,0.10564,0.106017425,6,2015,40.580732,-111.827718,JVWCD-088,source_water,70,0.005365629
311,-16.27,-120.68,9.45,0.04722,0.09237,0.162388559,6,2015,40.587553,-111.815233,JVWCD-106,source_water,80,0.006132148
331,-16.13,-120.06,9.01,0.06808,0.0977,0.215926796,6,2015,40.602067,-111.822332,JVWCD-108,source_water,37,0.002836118
261,-15.80723045,-122.5888571,4.46898653,0.014898237,0.044315274,0.061151478,2,2016,40.486532,-111.934253,JVWCD-125,source_water,41,0.003142726
